,column,min,max,range
0,Accounts_Receivable_Turnover,0.00014664906877841325,0.14400938554040182,0.1438627364716234
1,After-tax_Net_Profit_Growth_Rate,0.009238891333040036,0.9913477049420736,0.9821088136090336
2,After-tax_net_Interest_Rate,0.001026543481448893,0.47866256049274086,0.477636017011292
3,Allocation_rate_per_person,0.0013198416190057193,0.1428361929901745,0.14151635137116877
4,Average_Collection_Days,0.005719313682358117,0.1426895439213961,0.13697023023903798
5,Borrowing_dependency,0.00014664906877841325,0.9992667546561079,0.9991201055873296
6,CFO_to_Assets,0.03240944420002933,0.7074351077870655,0.6750256635870362
7,Cash/Current_Liability,0.10353424255755976,0.14312949112773135,0.03959524857017159
8,Cash/Total_Assets,0.012758468983721953,0.17187270860830034,0.15911423962457838
9,Cash_Flow_Per_Share,0.00806569878281273,0.9766827980642323,0.9686170992814196
10,Cash_Flow_to_Equity,0.0013198416190057193,0.9299017451239184,0.9285819035049128
11,Cash_Flow_to_Liability,0.001173192550227306,0.9925208974923009,0.9913477049420736
12,Cash_Flow_to_Sales,0.0004399472063352398,0.9709634843818742,0.970523537175539
13,Cash_Flow_to_Total_Assets,0.011878574571051475,0.4200029329813756,0.40812435841032413
14,Cash_Reinvestment_%,0.062179205162047224,0.4123771814048981,0.3501979762428509
15,Cash_Turnover_Rate,0.07156474556386568,0.17553893532776066,0.10397418976389498
16,Cash_flow_rate,0.0013198416190057193,0.99076110866696,0.9894412670479543
17,Contingent_liabilities/Net_worth,0.08798944126704795,0.9998533509312216,0.9118639096641736
18,Continuous_Net_Profit_Growth_Rate,0.0365156181258249,0.2154274820354891,0.17891186390966418
19,Continuous_interest_rate_(after_tax),0.001173192550227306,0.9997067018624431,0.9985335093122159
20,Current_Asset_Turnover_Rate,0.13990321161460625,0.16058073031236253,0.020677518697756275
21,Current_Assets/Total_Assets,0.1350637923449186,0.15442146942366916,0.01935767707875055
22,Current_Liabilities/Equity,0.03519577650681918,0.7245930488341399,0.6893972723273207
23,Current_Liabilities/Liability,0.09136236984895146,0.1660067458571638,0.07464437600821233
24,Current_Liability_to_Assets,0.03680891626338173,0.1770054260155448,0.14019650975216308
25,Current_Liability_to_Current_Assets,0.004252822994573985,0.17553893532776066,0.17128611233318666
26,Current_Liability_to_Equity,0.03519577650681918,0.7245930488341399,0.6893972723273207
27,Current_Liability_to_Liability,0.09136236984895146,0.1660067458571638,0.07464437600821233
28,Current_Ratio,0.14239624578383928,0.14752896319108375,0.005132717407244469
29,Debt_ratio_%,0.05983282006159261,0.9480862296524417,0.8882534095908491
30,Degree_of_Financial_Leverage_(DFL),0.025370288898665494,0.15075524270420884,0.12538495380554335
31,Equity_to_Liability,0.001026543481448893,0.2025223639829887,0.2014958205015398
32,Equity_to_Long-term_Liability,0.11028009972136676,0.559612846458425,0.44933274673705825
33,Fixed_Assets_Turnover_Frequency,0.13447719606980496,0.19665640123185218,0.062179205162047224
34,Fixed_Assets_to_Assets,0.14239624578383928,0.902771667399912,0.7603754216160727
35,Gross_Profit_to_Sales,0.08227012758468984,0.3475582930048394,0.2652881654201496
36,Interest-bearing_debt_interest_rate,0.14224959671506085,0.17157941047074352,0.029329813755682665
37,Interest_Coverage_Ratio_(Interest_expense_to_EBIT),0.10529403138290072,0.17891186390966418,0.07361783252676346
38,Interest_Expense_Ratio,0.07875054993400792,0.4172166006745857,0.3384660507405778
39,Inventory/Current_Liability,0.1416630004399472,0.2627951312509166,0.12113213081096938
40,Inventory/Working_Capital,0.006012611819914943,0.48496847045021263,0.47895585863029766
41,Inventory_Turnover_Rate_(times),0.12802463704355477,0.14884880481008947,0.0208241677665347
42,Inventory_and_accounts_receivable/Net_value,0.0007332453438920663,0.9964804223493181,0.995747177005426
43,Liability-Assets_Flag,0.14210294764628245,0.7819328347264994,0.639829887080217
44,Liability_to_Equity,0.001173192550227306,0.8860536735591729,0.8848804810089456
45,Long-term_Liability_to_Current_Assets,0.09370875494940607,0.14254289485261767,0.0488341399032116
46,Long-term_fund_suitability_ratio_(A),0.13770347558293006,0.9530722979909078,0.8153688224079777
47,Net_Income_to_Stockholder's_Equity,0.0008798944126704796,0.4013785012465171,0.4004986068338466
