,column,min,max,range
0,Accounts_Receivable_Turnover,0.0,0.046192217618227005,0.046192217618227005
1,After-tax_Net_Profit_Growth_Rate,0.000741893018130213,0.0468331053853035,0.046091212367173284
2,After-tax_net_Interest_Rate,0.0001397686719428748,0.04739668220281601,0.047256913530873135
3,Allocation_rate_per_person,3.1855313862085984e-31,0.04575783759355545,0.04575783759355545
4,Average_Collection_Days,0.0,0.045606065541505814,0.045606065541505814
5,Borrowing_dependency,0.0004368252702988684,0.7625762820243835,0.7621394567540847
6,CFO_to_Assets,0.010677074082195759,0.048640456050634384,0.037963381968438625
7,Cash/Current_Liability,0.0390344113111496,0.048535436391830444,0.009501025080680847
8,Cash/Total_Assets,0.0013952255249023438,0.04964732006192207,0.04825209453701973
9,Cash_Flow_Per_Share,0.00014664906484540552,0.045021913945674896,0.04487526488082949
10,Cash_Flow_to_Equity,1.2219201673719256e-20,0.04290347173810005,0.04290347173810005
11,Cash_Flow_to_Liability,0.0001469153503421694,0.2756820321083069,0.2755351167579647
12,Cash_Flow_to_Sales,0.0001466482353862375,0.04770902916789055,0.04756238093250431
13,Cash_Flow_to_Total_Assets,0.001933511346578598,0.04602847993373871,0.04409496858716011
14,Cash_Reinvestment_%,0.004117174539715052,0.046400539577007294,0.04228336503729224
15,Cash_Turnover_Rate,0.023172078654170036,0.049281347543001175,0.02610926888883114
16,Cash_flow_rate,0.00014664906484540552,0.044232964515686035,0.04408631545084063
17,Contingent_liabilities/Net_worth,0.0,0.03147188574075699,0.03147188574075699
18,Continuous_Net_Profit_Growth_Rate,0.0,0.051289692521095276,0.051289692521095276
19,Continuous_interest_rate_(after_tax),0.00014664906484540552,0.2447378933429718,0.2445912442781264
20,Current_Asset_Turnover_Rate,0.03916429355740547,0.046583715826272964,0.007419422268867493
21,Current_Assets/Total_Assets,0.03653024509549141,0.04968823865056038,0.01315799355506897
22,Current_Liabilities/Equity,0.012527253478765488,0.04890916496515274,0.03638191148638725
23,Current_Liabilities/Liability,0.03438195586204529,0.049691494554281235,0.015309538692235947
24,Current_Liability_to_Assets,0.031569890677928925,0.0670970007777214,0.03552711009979248
25,Current_Liability_to_Current_Assets,0.00208767200820148,0.049449726939201355,0.047362054930999875
26,Current_Liability_to_Equity,0.013445472344756126,0.04647594690322876,0.03303047455847263
27,Current_Liability_to_Liability,0.03369416669011116,0.049797553569078445,0.016103386878967285
28,Current_Ratio,0.0,0.045606065541505814,0.045606065541505814
29,Debt_ratio_%,0.014272722415626049,0.07107868045568466,0.05680595804005861
30,Degree_of_Financial_Leverage_(DFL),0.0,0.04356592521071434,0.04356592521071434
31,Equity_to_Liability,0.0012000391725450754,0.048292458057403564,0.04709241888485849
32,Equity_to_Long-term_Liability,0.01201146375387907,0.8456935286521912,0.8336820648983121
33,Fixed_Assets_Turnover_Frequency,0.041559331119060516,0.05009017139673233,0.008530840277671814
34,Fixed_Assets_to_Assets,0.010934166610240936,0.04728799685835838,0.03635383024811745
35,Gross_Profit_to_Sales,0.0007544044055975974,0.04569723829627037,0.04494283389067277
36,Interest-bearing_debt_interest_rate,0.002356709213927388,0.045459434390068054,0.043102725176140666
37,Interest_Coverage_Ratio_(Interest_expense_to_EBIT),3.540922000055957e-09,0.037660885602235794,0.037660882061313794
38,Interest_Expense_Ratio,0.00015043372695799917,0.050327081233263016,0.05017664750630502
39,Inventory/Current_Liability,0.0026386796962469816,0.04723736271262169,0.04459868301637471
40,Inventory/Working_Capital,0.0,0.05092601478099823,0.05092601478099823
41,Inventory_Turnover_Rate_(times),0.03529433161020279,0.04792084917426109,0.012626517564058304
42,Inventory_and_accounts_receivable/Net_value,0.0004399484605528414,0.050806544721126556,0.050366596260573715
43,Liability-Assets_Flag,0.007536816876381636,0.04565209522843361,0.03811527835205197
44,Liability_to_Equity,0.013074166141450405,0.04742443189024925,0.03435026574879885
45,Long-term_Liability_to_Current_Assets,0.010266348719596863,0.04566218703985214,0.03539583832025528
46,Long-term_fund_suitability_ratio_(A),0.04409939795732498,0.22137928009033203,0.17727988213300705
47,Net_Income_to_Stockholder's_Equity,0.0024158877786248922,0.05644556134939194,0.054029673570767045
48,Net_Income_to_Total_Assets,0.008339242078363895,0.8736039400100708,0.8652646979317069
49,Net_Value_Growth_Rate,0.0,0.045606065541505814,0.045606065541505814
50,Net_Value_Per_Share_(A),0.00044115079799667,0.04618632793426514,0.04574517713626847
51,Net_Value_Per_Share_(B),0.00043994979932904243,0.04544194042682648,0.045001990627497435
52,Net_Value_Per_Share_(C),0.0011430508457124233,0.048443473875522614,0.04730042302981019
53,Net_Worth_Turnover_Rate_(times),0.0004437342577148229,0.04569361358880997,0.045249879331095144
54,Net_profit_before_tax/Paid-in_capital,0.00014664906484540552,0.060223452746868134,0.06007680368202273
55,Net_worth/Assets,0.014873988926410675,0.07003665715456009,0.055162668228149414
56,No-credit_Interval,0.0,0.036615267395973206,0.036615267395973206
57,Non-industry_income_and_expenditure/revenue,0.0,0.03001547046005726,0.03001547046005726
58,Operating_Expense_Rate,0.04230153560638428,0.04644712805747986,0.004145592451095581
59,Operating_Funds_to_Liability,0.014217166230082512,0.045662008225917816,0.031444841995835304
60,Operating_Gross_Margin,0.000876462203450501,0.04550343379378319,0.04462697159033269
61,Operating_Profit_Growth_Rate,0.0,0.03911137580871582,0.03911137580871582
62,Operating_Profit_Per_Share_(Yuan_¥),0.007582909893244505,0.0838853269815445,0.07630241708829999
63,Operating_Profit_Rate,0.0,0.00030591082759201527,0.00030591082759201527
64,Operating_profit/Paid-in_capital,0.0053792428225278854,0.07642330229282379,0.0710440594702959
65,Operating_profit_per_person,0.0004399472090881318,0.044802866876125336,0.044362919667037204
66,Per_Share_Net_profit_before_tax_(Yuan_¥),0.00014664906484540552,0.04583869129419327,0.04569204222934786
67,Persistent_EPS_in_the_Last_Four_Seasons,0.0,0.3335746228694916,0.3335746228694916
68,Pre-tax_net_Interest_Rate,0.0,0.04515855014324188,0.04515855014324188
69,Quick_Asset_Turnover_Rate,0.03541339561343193,0.047885555773973465,0.012472160160541534
70,Quick_Assets/Current_Liability,0.0,0.045606065541505814,0.045606065541505814
71,Quick_Assets/Total_Assets,0.022716984152793884,0.04594915360212326,0.023232169449329376
72,Quick_Ratio,0.0004398840537760407,0.04571174830198288,0.04527186424820684
73,ROA(A)_before_interest_and_%_after_tax,0.0301525816321373,0.04744588956236839,0.017293307930231094
74,ROA(B)_before_interest_and_depreciation_after_tax,0.002699091099202633,0.14216174185276031,0.13946265075355768
75,ROA(C)_before_interest_and_depreciation_before_interest,0.0014205691404640675,0.10860858112573624,0.10718801198527217
76,Realized_Sales_Gross_Margin,0.00029330039978958666,0.04600010812282562,0.045706807723036036
77,Realized_Sales_Gross_Profit_Growth_Rate,0.029035093262791634,0.12389177829027176,0.09485668502748013
78,Regular_Net_Profit_Growth_Rate,2.832146751300557e-31,0.05501781031489372,0.05501781031489372
79,Research_and_development_expense_rate,0.028361234813928604,0.048226501792669296,0.019865266978740692
80,Retained_Earnings_to_Total_Assets,0.0005688277306035161,0.0507032535970211,0.05013442586641759
81,Revenue_Per_Share_(Yuan_¥),0.0,0.045606065541505814,0.045606065541505814
82,Revenue_per_person,0.0,0.045606065541505814,0.045606065541505814
83,Tax_rate_(A),0.008703961968421936,0.049691736698150635,0.0409877747297287
84,Total_Asset_Growth_Rate,0.0351935438811779,0.04749360308051109,0.012300059199333191
85,Total_Asset_Return_Growth_Rate_Ratio,0.0,0.04543314129114151,0.04543314129114151
86,Total_Asset_Turnover,0.0022354228422045708,0.05434506759047508,0.05210964474827051
87,Total_assets_to_GNP_price,0.001448565861210227,0.04561552777886391,0.04416696191765368
88,Total_debt/Total_net_worth,0.04545941576361656,0.9227985143661499,0.8773390986025333
89,Total_expense/Assets,0.00043996277963742614,0.04561680927872658,0.04517684649908915
90,Total_income/Total_expense,0.0,0.0154813127592206,0.0154813127592206
91,Working_Capital/Equity,0.0013205544091761112,0.046281635761260986,0.044961081352084875
92,Working_Capital_to_Total_Assets,0.003354243701323867,0.046697624027729034,0.04334338032640517
93,Working_capitcal_Turnover_Rate,0.0,0.9724056720733643,0.9724056720733643
