,column,min,max,range
0,Accounts_Receivable_Turnover,0.09224226426162194,0.09224226426162194,0.0
1,After-tax_Net_Profit_Growth_Rate,0.08681624871682064,0.09590849098108227,0.009092242264261627
2,After-tax_net_Interest_Rate,0.07391113066432028,0.09781492887520164,0.023903798210881358
3,Allocation_rate_per_person,0.09224226426162194,0.09224226426162194,0.0
4,Average_Collection_Days,0.09224226426162194,0.09224226426162194,0.0
5,Borrowing_dependency,0.05250036662267195,0.09766827980642323,0.04516791318375128
6,CFO_to_Assets,0.09048247543628098,0.09341545681184925,0.002932981375568272
7,Cash/Current_Liability,0.09224226426162194,0.09253556239917876,0.00029329813755682443
8,Cash/Total_Assets,0.07977709341545682,0.09136236984895146,0.011585276433494648
9,Cash_Flow_Per_Share,0.08842938847338319,0.09224226426162194,0.0038128757882387454
10,Cash_Flow_to_Equity,0.07728405924622378,0.0962017891186391,0.018917729872415315
11,Cash_Flow_to_Liability,0.09048247543628098,0.09678838539375274,0.006305909957471767
12,Cash_Flow_to_Sales,0.08549640709781493,0.09268221146795717,0.00718580437014224
13,Cash_Flow_to_Total_Assets,0.08681624871682064,0.09356210588062766,0.0067458571638070175
14,Cash_Reinvestment_%,0.0874028449919343,0.09781492887520164,0.010412083883267337
15,Cash_Turnover_Rate,0.09106907171139464,0.10001466490687784,0.0089455931954832
16,Cash_flow_rate,0.0874028449919343,0.09370875494940607,0.006305909957471767
17,Contingent_liabilities/Net_worth,0.07889719900278633,0.12479835753042968,0.04590115852764336
18,Continuous_Net_Profit_Growth_Rate,0.08608300337292858,0.09048247543628098,0.004399472063352394
19,Continuous_interest_rate_(after_tax),0.07669746297111013,0.12025223639829886,0.043554773427188734
20,Current_Asset_Turnover_Rate,0.0918023170552867,0.09224226426162194,0.00043994720633523665
21,Current_Assets/Total_Assets,0.0786039008652295,0.09942806863176419,0.020824167766534687
22,Current_Liabilities/Equity,0.08227012758468984,0.09928141956298578,0.017011291978295942
