,column,min,max,range
0,Accounts_Receivable_Turnover,0.16673999120105587,0.16673999120105587,0.0
1,After-tax_Net_Profit_Growth_Rate,0.16630004399472062,0.1680598328200616,0.0017597888253409744
2,After-tax_net_Interest_Rate,0.15310162780466344,0.1957765068191817,0.042674879014518274
3,Allocation_rate_per_person,0.16673999120105587,0.16673999120105587,0.0
4,Average_Collection_Days,0.16673999120105587,0.16673999120105587,0.0
5,Borrowing_dependency,0.14547587622818595,0.18859070244903944,0.0431148262208535
6,CFO_to_Assets,0.16615339492594222,0.16776653468250477,0.0016131397565625483
7,Cash/Current_Liability,0.16644669306349905,0.21308109693503446,0.04663440387153542
8,Cash/Total_Assets,0.13916996627071418,0.17113946326440826,0.031969496993694085
9,Cash_Flow_Per_Share,0.16776653468250477,0.16835313095761842,0.0005865962751136489
10,Cash_Flow_to_Equity,0.14298284205895292,0.17876521484088576,0.03578237278193283
11,Cash_Flow_to_Liability,0.16864642909517524,0.17113946326440826,0.0024930341692330216
12,Cash_Flow_to_Sales,0.1670332893386127,0.17685877694676638,0.009825487608153688
13,Cash_Flow_to_Total_Assets,0.15999413403724885,0.17304590115852764,0.013051767121278784
14,Cash_Reinvestment_%,0.15016864642909517,0.17304590115852764,0.022877254729432472
15,Cash_Turnover_Rate,0.1318375128317935,0.27804663440387156,0.14620912157207805
16,Cash_flow_rate,0.1702595688517378,0.17465904091509019,0.004399472063352394
17,Contingent_liabilities/Net_worth,0.1561812582490101,0.20589529256489222,0.049714034315882116
18,Continuous_Net_Profit_Growth_Rate,0.10808036368969057,0.16351371168793077,0.05543334799824021
19,Continuous_interest_rate_(after_tax),0.13491714327614018,0.27995307229799093,0.14503592902185075
20,Current_Asset_Turnover_Rate,0.12083883267341253,0.17157941047074352,0.05074057779733099
21,Current_Assets/Total_Assets,0.12773133890599794,0.18125824901011878,0.053526910104120834
22,Current_Liabilities/Equity,0.14092975509605515,0.18536442293591435,0.04443466783985919
23,Current_Liabilities/Liability,0.1469423669159701,0.18873735151781787,0.04179498460184777
24,Current_Liability_to_Assets,0.1594075377621352,0.17407244463997654,0.014664906877841333
25,Current_Liability_to_Current_Assets,0.14078310602727673,0.19387006892506234,0.05308696289778561
26,Current_Liability_to_Equity,0.16673999120105587,0.16673999120105587,0.0
27,Current_Liability_to_Liability,0.16673999120105587,0.16673999120105587,0.0
28,Current_Ratio,0.16673999120105587,0.16673999120105587,0.0
29,Debt_ratio_%,0.15955418683091363,0.1802317055286699,0.020677518697756275
30,Degree_of_Financial_Leverage_(DFL),0.17539228625898226,0.20398885467077285,0.02859656841179059
31,Equity_to_Liability,0.11482622085349758,0.19431001613139756,0.07948379527789998
32,Equity_to_Long-term_Liability,0.13565038862003226,0.23713154421469423,0.10148115559466198
33,Fixed_Assets_Turnover_Frequency,0.14224959671506085,0.17421909370875496,0.03196949699369411
34,Fixed_Assets_to_Assets,0.16673999120105587,0.16673999120105587,0.0
35,Gross_Profit_to_Sales,0.1646869042381581,0.16761988561372634,0.0029329813755682443
36,Interest-bearing_debt_interest_rate,0.16673999120105587,0.16673999120105587,0.0
37,Interest_Coverage_Ratio_(Interest_expense_to_EBIT),0.1646869042381581,0.18111159994134038,0.01642469570318228
38,Interest_Expense_Ratio,0.17671212787798798,0.1770054260155448,0.00029329813755682443
39,Inventory/Current_Liability,0.16659334213227747,0.2190937087549494,0.052500366622671935
40,Inventory/Working_Capital,0.1340372488634697,0.16307376448159555,0.02903651561812584
41,Inventory_Turnover_Rate_(times),0.16190057193136823,0.18169819621645403,0.019797624285085802
42,Inventory_and_accounts_receivable/Net_value,0.14782226132864057,0.1690863763015105,0.021264114972869924
43,Liability-Assets_Flag,0.16673999120105587,0.16673999120105587,0.0
44,Liability_to_Equity,0.13550373955125386,0.21058806276580144,0.07508432321454758
45,Long-term_Liability_to_Current_Assets,0.16673999120105587,0.16673999120105587,0.0
46,Long-term_fund_suitability_ratio_(A),0.1460624725032996,0.17260595395219241,0.02654348144889282
47,Net_Income_to_Stockholder's_Equity,0.13565038862003226,0.17099281419562987,0.03534242557559761
48,Net_Income_to_Total_Assets,0.15735445079923743,0.20413550373955125,0.046781052940313816
49,Net_Value_Growth_Rate,0.16673999120105587,0.16673999120105587,0.0
50,Net_Value_Per_Share_(A),0.1658600967883854,0.16864642909517524,0.002786332306789846
51,Net_Value_Per_Share_(B),0.15574131104267488,0.17069951605807304,0.014958205015398157
52,Net_Value_Per_Share_(C),0.1503152954978736,0.16981962164540254,0.01950432614752895
53,Net_Worth_Turnover_Rate_(times),0.13433054700102653,0.17876521484088576,0.04443466783985922
54,Net_profit_before_tax/Paid-in_capital,0.16673999120105587,0.16967297257662414,0.002932981375568272
55,Net_worth/Assets,0.16673999120105587,0.16673999120105587,0.0
56,No-credit_Interval,0.17465904091509019,0.17773867135943686,0.0030796304443466704
57,Non-industry_income_and_expenditure/revenue,0.1561812582490101,0.27702009092242263,0.12083883267341253
58,Operating_Expense_Rate,0.1560346091802317,0.18888400058659627,0.03284939140636456
59,Operating_Funds_to_Liability,0.1626338172752603,0.16952632350784572,0.006892506232585416
60,Operating_Gross_Margin,0.1481155594661974,0.19313682358117026,0.04502126411497287
61,Operating_Profit_Growth_Rate,0.15236838246077136,0.16556679865082857,0.01319841619005721
62,Operating_Profit_Per_Share_(Yuan_¥),0.16336706261915238,0.16981962164540254,0.006452559026250165
63,Operating_Profit_Rate,0.1815515471476756,0.1815515471476756,0.0
64,Operating_profit/Paid-in_capital,0.16717993840739112,0.17040621792051622,0.0032262795131250965
65,Operating_profit_per_person,0.17304590115852764,0.20369555653321603,0.03064965537468839
66,Per_Share_Net_profit_before_tax_(Yuan_¥),0.15896759055579998,0.16659334213227747,0.007625751576477491
